"Time","Source","Src Port","Destination","Dst Port","Protocol","Length","Data","Info"
"0.000000000","192.168.1.137","137","192.168.1.255","137","NBNS","92","","Name query NB BRW7440BBBE4A3A<00>"
"0.107507647","Arcadyan_6e:fd:ca","","Spanning-tree-(for-bridges)_00","","STP","60","","Conf. Root = 32768/0/a4:ce:da:6e:fd:ca  Cost = 0  Port = 0x8003"
"0.709759815","140.82.112.26","443","192.168.1.137","57632","TLSv1.2","80","","Application Data"
"0.710737398","192.168.1.137","57632","140.82.112.26","443","TLSv1.2","84","","Application Data"
"0.764016335","192.168.1.137","137","192.168.1.255","137","NBNS","92","","Name query NB BRW7440BBBE4A3A<00>"
"0.764236822","192.168.1.137","5353","224.0.0.251","5353","MDNS","81","","Standard query 0x0000 A BRW7440BBBE4A3A.local, ""QM"" question"
"0.765215070","fe80::150d:e1f2:b6e9:6559","5353","ff02::fb","5353","MDNS","101","","Standard query 0x0000 A BRW7440BBBE4A3A.local, ""QM"" question"
"0.765640365","fe80::150d:e1f2:b6e9:6559","65012","ff02::1:3","5355","LLMNR","95","","Standard query 0xe1f1 A BRW7440BBBE4A3A"
"0.765640485","192.168.1.137","65012","224.0.0.252","5355","LLMNR","75","","Standard query 0xe1f1 A BRW7440BBBE4A3A"
"0.766053677","192.168.1.137","5353","224.0.0.251","5353","MDNS","81","","Standard query 0x0000 A BRW7440BBBE4A3A.local, ""QM"" question"
"0.766435388","fe80::150d:e1f2:b6e9:6559","5353","ff02::fb","5353","MDNS","101","","Standard query 0x0000 A BRW7440BBBE4A3A.local, ""QM"" question"
"0.944064518","ASIXElec_68:a5:38","","Broadcast","","ARP","60","","Who has 192.168.1.151? Tell 192.168.1.137"
"0.957344605","140.82.112.26","443","192.168.1.137","57632","TCP","60","","443  >  57632 [ACK] Seq=27 Ack=31 Win=69 Len=0"
"1.183555583","fe80::150d:e1f2:b6e9:6559","65012","ff02::1:3","5355","LLMNR","95","","Standard query 0xe1f1 A BRW7440BBBE4A3A"
"1.183556235","192.168.1.137","65012","224.0.0.252","5355","LLMNR","75","","Standard query 0xe1f1 A BRW7440BBBE4A3A"
"1.524876546","192.168.1.137","137","192.168.1.255","137","NBNS","92","","Name query NB BRW7440BBBE4A3A<00>"
"1.541028483","192.168.1.137","57988","20.44.229.112","443","TCP","66","","57988  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1.544162138","20.44.229.112","443","192.168.1.137","57988","TCP","66","","443  >  57988 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"1.544378097","192.168.1.137","57988","20.44.229.112","443","TCP","60","","57988  >  443 [ACK] Seq=1 Ack=1 Win=263424 Len=0"
"1.546340516","192.168.1.137","57988","20.44.229.112","443","TLSv1.2","273","","Client Hello"
"1.550621057","20.44.229.112","443","192.168.1.137","57988","TLSv1.2","6346","","Server Hello, Certificate, Certificate Status, Server Key Exchange, Certificate Request, Server Hello Done"
"1.550685360","192.168.1.137","57988","20.44.229.112","443","TCP","60","","57988  >  443 [ACK] Seq=220 Ack=6293 Win=263424 Len=0"
"1.554943908","192.168.1.137","57988","20.44.229.112","443","TLSv1.2","219","","Certificate, Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"1.558675641","20.44.229.112","443","192.168.1.137","57988","TLSv1.2","105","","Change Cipher Spec, Encrypted Handshake Message"
"1.559716548","192.168.1.137","57988","20.44.229.112","443","TLSv1.2","1669","","Application Data"
"1.559716649","192.168.1.137","57988","20.44.229.112","443","TLSv1.2","1716","","Application Data"
"1.562483164","20.44.229.112","443","192.168.1.137","57988","TCP","60","","443  >  57988 [ACK] Seq=6344 Ack=2000 Win=4194560 Len=0"
"1.562757639","20.44.229.112","443","192.168.1.137","57988","TCP","60","","443  >  57988 [ACK] Seq=6344 Ack=3662 Win=4194560 Len=0"
"1.566827394","20.44.229.112","443","192.168.1.137","57988","TLSv1.2","2264","","Application Data"
"1.566827464","192.168.1.137","57988","20.44.229.112","443","TCP","60","","57988  >  443 [ACK] Seq=3662 Ack=8554 Win=263424 Len=0"
"1.614230586","192.168.1.137","57988","20.44.229.112","443","TLSv1.2","1656","","Application Data"
"1.617028735","20.44.229.112","443","192.168.1.137","57988","TCP","60","","443  >  57988 [ACK] Seq=8554 Ack=5264 Win=4194560 Len=0"
"1.707609791","Arcadyan_6e:fd:ca","","Spanning-tree-(for-bridges)_ef:03:fe","","0xfe68","111","030304859d9c00800180c2ef03fea4ceda6efdcd00545249030300859d9c00807c7d7bd9â\200\246","Ethernet II"
"1.707610181","Arcadyan_6e:fd:ca","","Spanning-tree-(for-bridges)_ef:03:fe","","0xfe68","111","030304859d9c00800180c2ef03fea4ceda6efdcd00545249030300859d9c00807c7d7bd9â\200\246","Ethernet II"
"1.707610211","Arcadyan_6e:fd:ca","","Spanning-tree-(for-bridges)_ef:03:fe","","0xfe68","111","030304859d9c00800180c2ef03fea4ceda6efdcd00545249030300859d9c00807c7d7bd9â\200\246","Ethernet II"
"1.707738627","Arcadyan_6e:fd:ca","","Spanning-tree-(for-bridges)_ef:03:fe","","0xfe68","111","030304859d9c00800180c2ef03fea4ceda6efdcd00545249030300859d9c00807c7d7bd9â\200\246","Ethernet II"
"1.707738698","Arcadyan_6e:fd:ca","","Spanning-tree-(for-bridges)_ef:03:fe","","0xfe68","111","030304859d9c00800180c2ef03fea4ceda6efdcd00545249030300859d9c00807c7d7bd9â\200\246","Ethernet II"
"1.707738718","Arcadyan_6e:fd:ca","","Spanning-tree-(for-bridges)_ef:03:fe","","0xfe68","111","030304859d9c00800180c2ef03fea4ceda6efdcd00545249030300859d9c00807c7d7bd9â\200\246","Ethernet II"
"1.707738748","Arcadyan_6e:fd:ca","","Spanning-tree-(for-bridges)_ef:03:fe","","0xfe68","111","030304859d9c00800180c2ef03fea4ceda6efdcd00545249030300859d9c00807c7d7bd9â\200\246","Ethernet II"
